"","Region","Market","Month","Year","Longitude","Latitude","01.1 FOOD_Bread Wheat (Bakery)","01.1.1.2 UNMILLED CEREALS/GRAINS_Wheat White","01.1.1.2 UNMILLED CEREALS/GRAINS_Wheat Mixed","01.1.1.2 UNMILLED CEREALS/GRAINS_Wheat Black (Red)","01.1.1.2 UNMILLED CEREALS/GRAINS_Emmer Wheat (shelled) Aja","01.1.1.2 UNMILLED CEREALS/GRAINS_Emmer Wheat (unshelled)","CEREALS MILLED_Wheat White","CEREALS MILLED_Wheat Mixed","CEREALS MILLED_Emmer Wheat(Aja)","01.2.1.1 COFFEE AND TEA_Malt-Wheat","P R I C E   I N    B I R R_Porridge 'bula' or wheat"
"1","Region","Market","Month","Year","Longitude","Latitude","01.1 FOOD","01.1.1.2 UNMILLED CEREALS/GRAINS","01.1.1.2 UNMILLED CEREALS/GRAINS","01.1.1.2 UNMILLED CEREALS/GRAINS","01.1.1.2 UNMILLED CEREALS/GRAINS","01.1.1.2 UNMILLED CEREALS/GRAINS","CEREALS MILLED","CEREALS MILLED","CEREALS MILLED","01.2.1.1 COFFEE AND TEA","P R I C E   I N    B I R R"
"1076","SOMALIE","Jigjiga","May","2019","42.792342","9.367259","8.75","20.00","-","17.28","-","40.00","-","24.49","-","-","-"
"1077","SOMALIE","Kebribeya","May","2019",NA,NA,"-","-","-","-","-","-","-","-","-","-","-"
"1078","SOMALIE","Dolo","May","2019","42.059257","4.179211","18.44","-","-","-","-","-","-","-","-","-","-"
"1079","SOMALIE","Moyale","May","2019","3.527","39.056","-","-","-","-","-","-","-","-","-","-","-"
"1080","BENISHANGUL-GUMUZ","Mambook","May","2019",NA,NA,"8.53","17.00","-","-","-","30.00","-","-","40.00","-","-"
"1081","BENISHANGUL-GUMUZ","Mender- Sebat ","May","2019",NA,NA,"6.71","18.00","-","-","-","30.00","-","-","-","-","-"
"1082","BENISHANGUL-GUMUZ","Asossa","May","2019","34.53730603","10.05784932","5.79","20.00","-","-","-","30.00","-","-","60.00","-","-"
"1083","BENISHANGUL-GUMUZ","Bambasi","May","2019","34.73046863","9.751504664","6.74","16.26","-","-","30.00","30.00","-","-","-","-","-"
"1084","BENISHANGUL-GUMUZ","Kemashi","May","2019","35.85916991","9.515450626","-","-","-","-","-","-","-","-","-","-","-"
"1085","BENISHANGUL-GUMUZ","Agelo- meti ","May","2019","35.77048443","9.640776618","-","-","-","-","-","-","-","-","-","-","-"
"1086","BENISHANGUL-GUMUZ","AVERA","May","2019",NA,NA,"6.87","17.76","-","-","30.00","30.00","-","-","48.99","-","-"
"1087","SOMALIE","Shinile","November","2018","41.844013","9.686515","-","-","-","15.49","-","-","-","-","-","-","-"
"1088","SOMALIE","Erere","November","2018",NA,NA,"8.41","-","16.00","-","-","-","-","-","-","-","-"
