"","Region","Market","Month","Year","Longitude","Latitude","pkg.wht.white","pkg.wht.mixed","pkg.wht.blred","pkg.wht.millw","pkg.wht.millm","pkg.wht.bread","pkg.wht.maltw","pkg.wht.allwh"
"682","Snnp","Arbam- Minch ","August",2013,37.5527474,6.024547891,12,NA,10,NA,NA,3.76,NA,12
"683","Snnp","Sawla","August",2013,36.87437474,6.300226567,9.11,NA,8.83,NA,NA,7.3,NA,9.11
"684","Snnp","Welayita Sodo ","December",2013,37.766643,6.86176,8.65,NA,8.29,NA,NA,5.38,14.76,8.65
"685","Snnp","Bodite","December",2013,37.89064905,7.038034865,8.49,NA,NA,NA,NA,4.78,11.76,8.49
"686","Snnp","Jinka","December",2013,36.56441614,5.78310286,10.36,8.98,7.8,NA,NA,5.83,10.38,10.36
"687","Snnp","Dimeka","December",2013,36.45041198,4.892522922,NA,NA,NA,NA,NA,4.39,NA,NA
"688","Snnp","Masha","December",2013,35.47956686,7.741652627,11,NA,10,NA,12.16,3.63,NA,11
"689","Snnp","Tepi","December",2013,35.36770327,7.320015599,10,NA,9.65,11,NA,5,NA,10
"690","Snnp","Boniga","December",2013,36.24008346,7.388535704,8,NA,7,NA,NA,5.59,12.73,8
"691","Snnp","Chana","December",2013,36.11775846,6.226550231,10,NA,NA,NA,NA,5,NA,10
"692","Snnp","Arbam- Minch ","December",2013,37.5527474,6.024547891,11.66,NA,10,NA,NA,3.76,NA,11.66
"693","Snnp","Sawla","December",2013,36.87437474,6.300226567,13.24,NA,14.78,NA,NA,3.51,NA,13.24
"694","Snnp","Welayita Sodo ","February",2014,37.766643,6.86176,8,9,NA,NA,NA,5.38,19.68,8
"695","Snnp","Bodite","February",2014,37.89064905,7.038034865,7.5,NA,NA,NA,NA,5.26,11.76,7.5
"696","Snnp","Jinka","February",2014,36.56441614,5.78310286,7.76,7.78,7.91,NA,NA,5.83,NA,7.76
"697","Snnp","Dimeka","February",2014,36.45041198,4.892522922,NA,NA,NA,NA,NA,5.19,NA,NA
"698","Snnp","Masha","February",2014,35.47956686,7.741652627,11,NA,11,NA,12,4.21,NA,11
"699","Snnp","Tepi","February",2014,35.36770327,7.320015599,10,NA,9.65,11,9,4.78,NA,10
"700","Snnp","Boniga","February",2014,36.24008346,7.388535704,6.5,NA,6,NA,NA,6.04,12.61,6.5
"701","Snnp","Chana","February",2014,36.11775846,6.226550231,9,NA,8,NA,NA,5.26,NA,9
"702","Snnp","Arbam- Minch ","February",2014,37.5527474,6.024547891,12.32,NA,11,NA,NA,3.63,NA,12.32
"703","Snnp","Sawla","February",2014,36.87437474,6.300226567,8.87,NA,7.58,NA,NA,3.51,NA,8.87
"704","Snnp","Welayita Sodo ","January",2014,37.766643,6.86176,7.83,NA,9,NA,NA,5.38,14.76,7.83
"705","Snnp","Bodite","January",2014,37.89064905,7.038034865,7.83,NA,NA,NA,NA,4.58,11.11,7.83
"706","Snnp","Jinka","January",2014,36.56441614,5.78310286,9.28,8.25,7.74,NA,NA,5.83,11.43,9.28
"707","Snnp","Dimeka","January",2014,36.45041198,4.892522922,NA,NA,NA,NA,NA,4.39,NA,NA
"708","Snnp","Masha","January",2014,35.47956686,7.741652627,11,NA,10,NA,12.16,4.21,NA,11
"709","Snnp","Tepi","January",2014,35.36770327,7.320015599,10,NA,10,11,NA,3.89,NA,10
"710","Snnp","Boniga","January",2014,36.24008346,7.388535704,7.16,NA,7,NA,NA,6.57,14.29,7.16
"711","Snnp","Chana","January",2014,36.11775846,6.226550231,11,NA,10,NA,NA,4.58,NA,11
"712","Snnp","Arbam- Minch ","January",2014,37.5527474,6.024547891,12,NA,10,NA,NA,3.76,NA,12
"713","Snnp","Sawla","January",2014,36.87437474,6.300226567,8.83,NA,10.45,NA,NA,3.51,NA,8.83
"714","Snnp","Welayita Sodo ","July",2013,37.766643,6.86176,8.25,NA,8.5,NA,NA,5.53,14.76,8.25
"715","Snnp","Bodite","July",2013,37.89064905,7.038034865,8.66,NA,NA,NA,NA,3.63,10.94,8.66
"716","Snnp","Jinka","July",2013,36.56441614,5.78310286,9.06,8.76,8.79,NA,NA,4.82,10.67,9.06
"717","Snnp","Dimeka","July",2013,36.45041198,4.892522922,NA,NA,NA,NA,NA,5.19,NA,NA
"718","Snnp","Masha","July",2013,35.47956686,7.741652627,10,NA,10,11.29,12,3.63,NA,10
"719","Snnp","Tepi","July",2013,35.36770327,7.320015599,10,NA,8.83,10.5,NA,5,NA,10
"720","Snnp","Boniga","July",2013,36.24008346,7.388535704,7,NA,6,NA,NA,3.46,12.61,7
"721","Snnp","Chana","July",2013,36.11775846,6.226550231,10,NA,8,NA,NA,3.39,NA,10
"722","Snnp","Arbam- Minch ","July",2013,37.5527474,6.024547891,12,10,10,NA,NA,3.76,NA,12
"723","Snnp","Sawla","July",2013,36.87437474,6.300226567,8.58,NA,8.7,NA,NA,7.02,NA,8.58
