"","Region","Market","Month","Year","Longitude","Latitude","CEREALS UNMILLED_Wheat White","CEREALS UNMILLED_Wheat Mixed","CEREALS UNMILLED_Wheat Black (Red)","CEREALS MILLED_Wheat White","CEREALS MILLED_Wheat Mixed","BREAD AND OTHER PREPARED FOODS_Bread Wheat (Bakery)","P R I C E   I N    B I R R_Malt-Wheat"
"1","Region","Market","Month","Year","Longitude","Latitude","CEREALS UNMILLED","CEREALS UNMILLED","CEREALS UNMILLED","CEREALS MILLED","CEREALS MILLED","BREAD AND OTHER PREPARED FOODS","P R I C E   I N    B I R R"
"478","OROMIYA","Alemaya","DECEMBER","2014","42.01641123","9.379383214","11.97","-","8.50","-","-","5.36","-"
"479","OROMIYA","Boreda","DECEMBER","2014","41.278686","9.331067","11.00","-","10.00","-","-","4.87","-"
"480","OROMIYA","Adaba","DECEMBER","2014","39.3890878","7.004454253","8.61","7.49","-","-","10.66","5.90","-"
"481","OROMIYA","Robe","DECEMBER","2014","39.631104","7.860619","10.79","9.50","-","-","-","5.98","-"
"482","OROMIYA","Hagere- Mariam ","DECEMBER","2014","38.23373735","5.63380625","11.32","8.37","-","12.16","-","5.12","11.11"
"483","OROMIYA","Negele- Borena ","DECEMBER","2014","39.577385","5.33699","9.50","7.82","9.29","-","-","4.38","-"
"484","OROMIYA","Nazareth","FEBRUARY","2015","39.26941988","8.535362997","11.00","11.00","-","14.00","-","4.20","16.22"
"485","OROMIYA","Shashe-","FEBRUARY","2015","38.608142","7.205388","10.00","9.50","10.00","-","-","4.67","21.00"
"486","OROMIYA","Diksise","FEBRUARY","2015","39.55824","8.059179","10.05","9.89","8.16","-","-","5.25","-"
"487","OROMIYA","Asella","FEBRUARY","2015","39.12972322","7.949589951","9.66","-","-","12.00","-","4.20","16.68"
"488","OROMIYA","Asebe- Teferi ","FEBRUARY","2015","40.86319806","9.072493603","12.60","-","8.00","-","-","4.40","-"
"489","OROMIYA","Bedessa","FEBRUARY","2015","40.77378712","8.902011546","9.53","-","9.84","-","-","5.26","-"
"490","OROMIYA","Alemaya","FEBRUARY","2015","42.01641123","9.379383214","12.00","-","10.00","-","-","5.56","-"
