"","Region","Market","Month","Year","Longitude","Latitude","pkg.wht.white","pkg.wht.mixed","pkg.wht.blred","pkg.wht.millw","pkg.wht.millm","pkg.wht.bread","pkg.wht.maltw"
"324","Oromiya","Ambo","August",2014,37.8446066,8.976806527,10.92,NA,11.04,NA,NA,4.8,13.95
"325","Oromiya","Weliso","August",2014,37.97073066,8.534178897,10.39,NA,NA,NA,NA,4.38,16.16
"326","Oromiya","Ejere","August",2014,39.262249,8.78288,12,NA,17.39,NA,NA,4.67,NA
"327","Oromiya","Fiche","August",2014,38.73344116,9.791083661,10.86,NA,12.2,NA,NA,6.06,17.17
"328","Oromiya","Ghimbi","December",2014,35.83291974,9.163103789,NA,NA,NA,NA,NA,5.25,NA
"329","Oromiya","Dembi- Dolo ","December",2014,34.79748694,8.530219501,9,7,NA,NA,NA,3.23,NA
"330","Oromiya","Shambu","December",2014,37.09431432,9.569809208,8.07,8.12,8.1,NA,NA,4.83,NA
"331","Oromiya","Nekemte","December",2014,36.54851971,9.09042469,12,10.32,10,NA,NA,4.91,NA
"332","Oromiya","Bedele","December",2014,36.36017384,8.454821965,12,10,NA,NA,NA,3.5,NA
"333","Oromiya","Metu","December",2014,35.58726864,8.300606827,10,NA,9,NA,NA,3.97,NA
"334","Oromiya","Jimma","December",2014,36.84385226,7.672338798,12,NA,10.25,NA,NA,3.33,NA
"335","Oromiya","Agaro","December",2014,36.58627683,7.848002731,11.18,NA,NA,NA,NA,4.29,10.65
"336","Oromiya","Ambo","December",2014,37.8446066,8.976806527,11.04,NA,11.36,NA,NA,4.95,16.76
"337","Oromiya","Weliso","December",2014,37.97073066,8.534178897,9.65,NA,NA,NA,NA,4.38,16.17
"338","Oromiya","Ejere","December",2014,39.262249,8.78288,9.1,NA,15.85,NA,NA,4.67,26.1
"339","Oromiya","Fiche","December",2014,38.73344116,9.791083661,11.01,NA,12,NA,NA,5.83,15.38
"340","Oromiya","Ghimbi","February",2015,35.83291974,9.163103789,11,10,NA,NA,NA,4.91,NA
"341","Oromiya","Dembi- Dolo ","February",2015,34.79748694,8.530219501,9,7,NA,NA,NA,3.5,NA
"342","Oromiya","Shambu","February",2015,37.09431432,9.569809208,8.13,8.12,NA,NA,NA,5.01,NA
"343","Oromiya","Nekemte","February",2015,36.54851971,9.09042469,10,10,NA,NA,NA,4.85,NA
"344","Oromiya","Bedele","February",2015,36.36017384,8.454821965,13,11,9.5,NA,NA,3.5,NA
"345","Oromiya","Metu","February",2015,35.58726864,8.300606827,10,NA,9,NA,NA,3.97,NA
"346","Oromiya","Jimma","February",2015,36.84385226,7.672338798,11.66,NA,10,NA,NA,3.33,NA
"347","Oromiya","Agaro","February",2015,36.58627683,7.848002731,11.76,NA,NA,NA,NA,4.38,10.13
"348","Oromiya","Ambo","February",2015,37.8446066,8.976806527,9.11,NA,10.93,NA,NA,4.19,15.54
"349","Oromiya","Weliso","February",2015,37.97073066,8.534178897,9.64,NA,13.79,NA,NA,3.63,16.17
"350","Oromiya","Ejere","February",2015,39.262249,8.78288,9.06,NA,15.85,NA,NA,4.67,24.01
"351","Oromiya","Fiche","February",2015,38.73344116,9.791083661,8.13,NA,10.14,NA,NA,4.55,15.6
"352","Oromiya","Ghimbi","January",2015,35.83291974,9.163103789,11,10,NA,NA,NA,5.01,NA
"353","Oromiya","Dembi- Dolo ","January",2015,34.79748694,8.530219501,9,7,NA,NA,NA,3.98,NA
"354","Oromiya","Shambu","January",2015,37.09431432,9.569809208,7.18,6.52,6.46,NA,NA,4.84,NA
"355","Oromiya","Nekemte","January",2015,36.54851971,9.09042469,10,8,8,NA,NA,4.83,NA
"356","Oromiya","Bedele","January",2015,36.36017384,8.454821965,13,10,11.49,NA,NA,3.5,NA
"357","Oromiya","Metu","January",2015,35.58726864,8.300606827,11,NA,10,NA,NA,3.97,NA
"358","Oromiya","Jimma","January",2015,36.84385226,7.672338798,12,NA,11,NA,NA,3.33,NA
"359","Oromiya","Agaro","January",2015,36.58627683,7.848002731,11.18,NA,NA,NA,NA,4.29,10.65
"360","Oromiya","Ambo","January",2015,37.8446066,8.976806527,9.32,NA,12.23,NA,NA,4,17.83
"361","Oromiya","Weliso","January",2015,37.97073066,8.534178897,9.43,NA,NA,NA,NA,3.5,13.86
"362","Oromiya","Ejere","January",2015,39.262249,8.78288,7.9,NA,13.24,NA,NA,4.67,NA
"363","Oromiya","Fiche","January",2015,38.73344116,9.791083661,9.44,NA,12.15,NA,NA,5.06,18.69
"364","Oromiya","Ghimbi","July",2014,35.83291974,9.163103789,11,10,NA,NA,NA,5.83,NA
"365","Oromiya","Dembi- Dolo ","July",2014,34.79748694,8.530219501,10,8,NA,NA,NA,3.18,NA
