"","Region","Market","Month","Year","Longitude","Latitude","pkg.bar.white","pkg.bar.mixed","pkg.bar.black","pkg.bar.bbeer","pkg.bar.temez","pkg.bar.millw","pkg.bar.millm","pkg.bar.maltb","pkg.bar.allba"
"639","Snnp","Yirega-¦ Chefie ","July",2017,38.1988827,6.16095383,12.49,NA,NA,NA,NA,NA,NA,15,12.49
"640","Snnp","Welikite","June",2018,37.77266735,8.27732366,17,NA,17.9,NA,NA,NA,NA,29.69,17
"641","Snnp","Butajira","June",2018,38.42140499,8.173264069,11.86,11.31,12.79,15.49,NA,NA,NA,16.54,11.86
"642","Snnp","Hosahna","June",2018,37.84747123,7.538579317,18,16,17,NA,NA,NA,NA,14.29,18
"643","Snnp","Shone","June",2018,37.94869425,7.134857075,16.75,NA,15.49,NA,NA,NA,NA,29.89,16.75
"644","Snnp","Doyugena","June",2018,37.78333,7.33333,14,13,14,13,22.94,NA,NA,19.01,14
"645","Snnp","Alaba","June",2018,38.086143,7.311546,17,NA,15,NA,NA,NA,NA,11.51,17
"646","Snnp","Awasa","June",2018,38.474819,7.058624,18.49,NA,17,18,NA,NA,NA,NA,18.49
"647","Snnp","Hagere- Selam ","June",2018,38.51921184,6.513880636,12.28,NA,NA,NA,NA,NA,NA,12.5,12.28
"648","Snnp","Dilla","June",2018,38.30745962,6.410516676,15.49,NA,14,14,NA,NA,NA,NA,15.49
"649","Snnp","Yirega-¦ Chefie ","June",2018,38.1988827,6.16095383,16,NA,NA,15.49,NA,NA,NA,NA,16
"650","Snnp","Welikite","March",2018,37.77266735,8.27732366,17.1,NA,17.45,NA,NA,NA,NA,34.37,17.1
"651","Snnp","Butajira","March",2018,38.42140499,8.173264069,11.15,10.79,11.48,12.21,NA,NA,NA,21.05,11.15
"652","Snnp","Hosahna","March",2018,37.84747123,7.538579317,14.49,12,14,NA,NA,NA,NA,21.43,14.49
"653","Snnp","Shone","March",2018,37.94869425,7.134857075,17,NA,15,NA,NA,NA,NA,NA,17
"654","Snnp","Doyugena","March",2018,37.78333,7.33333,13,12,14,13,NA,NA,NA,13.01,13
"655","Snnp","Alaba","March",2018,38.086143,7.311546,15.49,NA,15.49,NA,NA,NA,NA,24.71,15.49
"656","Snnp","Awasa","March",2018,38.474819,7.058624,17,NA,17,17,NA,NA,NA,NA,17
"657","Snnp","Hagere- Selam ","March",2018,38.51921184,6.513880636,10.41,NA,NA,NA,NA,NA,NA,NA,10.41
"658","Snnp","Dilla","March",2018,38.30745962,6.410516676,16.49,NA,NA,15.49,NA,NA,NA,NA,16.49
"659","Snnp","Yirega-¦ Chefie ","March",2018,38.1988827,6.16095383,16,NA,NA,NA,NA,NA,NA,NA,16
"660","Snnp","Welikite","May",2018,37.77266735,8.27732366,17.9,NA,17.5,NA,NA,NA,NA,33.33,17.9
"661","Snnp","Butajira","May",2018,38.42140499,8.173264069,13.28,12.1,14.01,15.52,NA,NA,NA,20.97,13.28
"662","Snnp","Hosahna","May",2018,37.84747123,7.538579317,17,14,16,NA,NA,NA,NA,14.29,17
"663","Snnp","Shone","May",2018,37.94869425,7.134857075,16,NA,16,NA,NA,NA,NA,30.59,16
"664","Snnp","Doyugena","May",2018,37.78333,7.33333,13,13,13,13,23.22,NA,NA,18.43,13
